Step,MeanDeltaProbeLoss,SampleSDDeltaProbeLoss,MedianDeltaProbeLoss,MinDeltaProbeLoss,MaxDeltaProbeLoss,MedianAbsoluteDeltaProbeLoss
0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0,0.0
500,0.001026599884033308,0.0015317295638463335,0.0002841835021973882,7.55310058608849e-06,0.002788063049316447,0.0002841835021973882
501,0.00012590535481771248,0.00019467837778756297,3.670501708996632e-05,-8.190155029286217e-06,0.00034920120239245733,3.670501708996632e-05
502,-0.00018766021728522375,0.00018418586807712048,-0.0001535720825196485,-0.0003865089416503764,-2.289962768564635e-05,0.0001535720825196485
505,-0.001121555328369143,0.001996861711511419,-0.0009947395324707564,-0.003178802490234389,0.0008088760375977166,0.0009947395324707564
510,-0.0019296239217123645,0.0013905221650911952,-0.0025488891601563868,-0.002902931213379034,-0.00033705139160167263,0.0025488891601563868
520,-0.0007731107076009991,0.0007752453768560224,-0.0005712776184083612,-0.0016293106079101616,-0.00011874389648447448,0.0005712776184083612
530,-0.0004732081095377705,0.0005841586497765277,-0.0005433921813964293,-0.001019104003906257,0.00014287185668937497,0.0005433921813964293
550,0.00028357187906902226,0.000535496604659808,0.000551231384277262,-0.0003329849243163263,0.000632469177246131,0.000551231384277262
575,0.0002558161417642868,0.0005255795069767843,4.912185668937141e-05,-0.00013499450683585046,0.0008533210754393394,0.00013499450683585046
600,0.0009569002787270797,0.0006201196099117484,0.0011058959960936754,0.00027585601806623394,0.0014889488220213298,0.0011058959960936754
650,0.000885643005371121,0.0008923288920281673,0.0004204483032228534,0.00032203292846677556,0.001914447784423734,0.0004204483032228534
700,0.0008329760233561542,0.001141586741550437,0.00038201904296863987,-1.4251708984280853e-05,0.0021311607360841034,0.00038201904296863987
750,0.0010234794616699183,0.0009861052217357935,0.0005400161743163157,0.00037240600585941586,0.0021580162048340235,0.0005400161743163157
800,0.0011475079854328385,0.0024887895788218454,0.0007709083557128071,-0.0011315193176271165,0.003803134918212825,0.0011315193176271165
1000,0.003837793986002591,0.002853889838430099,0.004001800537109412,0.0009054374694823508,0.00660614395141601,0.004001800537109412
1200,0.006528463999430374,0.003377118015328837,0.006759544372558546,0.0030417404174805096,0.009784107208252069,0.006759544372558546
1256,0.005628271738688184,0.00473217938021897,0.004038959503173789,0.0018953361511231392,0.010950519561767624,0.004038959503173789
