Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.3057811126708985,2.3057811126708985,0.0,0.0,0.092,0.092
200,1.5813103485107423,1.5813103485107423,0.0,0.0,0.418,0.418
400,1.4317638816833496,1.4317638816833496,0.0,0.0,0.484,0.484
450,1.3872514305114747,1.3872514305114747,0.0,0.0,0.48,0.48
480,1.3653692092895509,1.3653692092895509,0.0,0.0,0.502,0.502
490,1.3563323440551758,1.3563323440551758,0.0,0.0,0.499,0.499
495,1.3522214889526367,1.3522214889526367,0.0,0.0,0.5045,0.5045
498,1.3653419494628907,1.3653419494628907,0.0,0.0,0.4945,0.4945
499,1.352272663116455,1.352272663116455,0.0,0.0,0.4995,0.4995
500,1.3424334182739257,1.3423956604003906,-3.7757873535104736e-05,3.7757873535104736e-05,0.5045,0.507
501,1.342647247314453,1.344627067565918,0.0019798202514649255,0.0019798202514649255,0.5005,0.501
502,1.3530212173461913,1.355426513671875,0.002405296325683759,0.002405296325683759,0.4945,0.497
505,1.3519627990722656,1.3547949752807618,0.0028321762084961843,0.0028321762084961843,0.495,0.495
510,1.3114806785583497,1.3171576271057128,0.005676948547363114,0.005676948547363114,0.513,0.5135
520,1.335362777709961,1.3422935752868652,0.00693079757690418,0.00693079757690418,0.5075,0.5075
530,1.3463408851623535,1.3540797843933106,0.0077388992309570526,0.0077388992309570526,0.5105,0.5035
550,1.3861336250305176,1.3870802726745606,0.0009466476440429528,0.0009466476440429528,0.487,0.489
575,1.355914077758789,1.3633512268066406,0.007437149047851532,0.007437149047851532,0.5095,0.5065
600,1.3160682334899902,1.3282096099853515,0.012141376495361289,0.012141376495361289,0.515,0.511
650,1.287944221496582,1.283888053894043,-0.004056167602539018,0.004056167602539018,0.5235,0.5275
700,1.372207763671875,1.3651822433471679,-0.007025520324707157,0.007025520324707157,0.5105,0.5155
750,1.2129127006530762,1.2219085845947266,0.008995883941650407,0.008995883941650407,0.5625,0.56
800,1.208461036682129,1.2071199302673339,-0.0013411064147950125,0.0013411064147950125,0.5545,0.561
1000,1.1206760215759277,1.1266144638061524,0.005938442230224661,0.005938442230224661,0.606,0.603
1200,1.1088875694274902,1.1117254333496094,0.002837863922119155,0.002837863922119155,0.598,0.598
1256,1.0606654739379884,1.074332592010498,0.013667118072509643,0.013667118072509643,0.6285,0.622
