Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.305514442443848,2.305514442443848,0.0,0.0,0.095,0.095
200,2.220052917480469,2.220052917480469,0.0,0.0,0.189,0.189
400,2.063564994812012,2.063564994812012,0.0,0.0,0.242,0.242
450,2.0472281723022463,2.0472281723022463,0.0,0.0,0.242,0.242
480,2.0288374557495117,2.0288374557495117,0.0,0.0,0.268,0.268
490,2.0213275604248047,2.0213275604248047,0.0,0.0,0.2735,0.2735
495,2.019596694946289,2.019596694946289,0.0,0.0,0.284,0.284
498,2.0227373199462892,2.0227373199462892,0.0,0.0,0.27,0.27
499,2.0356551666259763,2.0356551666259763,0.0,0.0,0.27,0.27
500,2.020273162841797,2.0188276596069334,-0.0014455032348634766,0.0014455032348634766,0.279,0.262
501,2.019674125671387,2.018738212585449,-0.0009359130859376563,0.0009359130859376563,0.273,0.2575
502,2.0257725143432617,2.024975509643555,-0.0007970046997067826,0.0007970046997067826,0.264,0.2505
505,2.029341911315918,2.0297441329956056,0.0004022216796877309,0.0004022216796877309,0.2475,0.247
510,2.017164924621582,2.0164366760253905,-0.000728248596191694,0.000728248596191694,0.2305,0.23
520,2.0091023559570313,2.008066352844238,-0.0010360031127931713,0.0010360031127931713,0.261,0.261
530,2.0069419174194336,2.0062137985229493,-0.0007281188964842755,0.0007281188964842755,0.267,0.263
550,1.9936929779052734,1.993012222290039,-0.0006807556152343963,0.0006807556152343963,0.2645,0.2645
575,1.9838633041381837,1.9832939529418945,-0.0005693511962892028,0.0005693511962892028,0.2695,0.2695
600,1.9717939758300782,1.9712291107177735,-0.000564865112304691,0.000564865112304691,0.304,0.305
650,1.9531719284057618,1.9526810836791992,-0.0004908447265625782,0.0004908447265625782,0.2935,0.2925
700,1.9245310668945312,1.9236328964233398,-0.0008981704711914507,0.0008981704711914507,0.269,0.2695
750,1.8933005447387696,1.8923090515136718,-0.0009914932250978392,0.0009914932250978392,0.315,0.3135
800,1.8666715087890624,1.866520164489746,-0.0001513442993164027,0.0001513442993164027,0.3055,0.3085
1000,1.8198293685913085,1.820226043701172,0.00039667510986340915,0.00039667510986340915,0.337,0.3365
1200,1.7208337326049805,1.720275390625,-0.0005583419799806144,0.0005583419799806144,0.3555,0.358
1256,1.7651934967041016,1.7647514190673828,-0.000442077636718885,0.000442077636718885,0.341,0.341
