Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.30476309967041,2.30476309967041,0.0,0.0,0.108,0.108
200,1.7169631881713867,1.7169631881713867,0.0,0.0,0.3925,0.3925
400,1.5929647979736328,1.5929647979736328,0.0,0.0,0.4105,0.4105
450,1.589037384033203,1.589037384033203,0.0,0.0,0.417,0.417
480,1.6241963882446289,1.6241963882446289,0.0,0.0,0.417,0.417
490,1.5742486381530763,1.5742486381530763,0.0,0.0,0.435,0.435
495,1.5928253746032714,1.5928253746032714,0.0,0.0,0.407,0.407
498,1.5623151931762695,1.5623151931762695,0.0,0.0,0.429,0.429
499,1.566205997467041,1.566205997467041,0.0,0.0,0.4245,0.4245
500,1.5576084251403808,1.5576159782409669,7.55310058608849e-06,7.55310058608849e-06,0.429,0.4295
501,1.6015682907104491,1.6016049957275391,3.670501708996632e-05,3.670501708996632e-05,0.4165,0.415
502,1.5685679512023927,1.568545051574707,-2.289962768564635e-05,2.289962768564635e-05,0.4155,0.423
505,1.599898422241211,1.6007072982788086,0.0008088760375977166,0.0008088760375977166,0.4,0.3995
510,1.5944427185058594,1.5941056671142577,-0.00033705139160167263,0.00033705139160167263,0.414,0.4175
520,1.5851924858093263,1.584621208190918,-0.0005712776184083612,0.0005712776184083612,0.4075,0.409
530,1.550111225128174,1.5502540969848633,0.00014287185668937497,0.00014287185668937497,0.428,0.4275
550,1.581258903503418,1.5809259185791016,-0.0003329849243163263,0.0003329849243163263,0.423,0.42
575,1.5384148368835449,1.538279842376709,-0.00013499450683585046,0.00013499450683585046,0.4455,0.442
600,1.5510475463867188,1.551323402404785,0.00027585601806623394,0.00027585601806623394,0.437,0.436
650,1.5198552894592285,1.5201773223876953,0.00032203292846677556,0.00032203292846677556,0.4365,0.438
700,1.5085651969909668,1.5089472160339354,0.00038201904296863987,0.00038201904296863987,0.4415,0.4425
750,1.4971662521362306,1.4977062683105469,0.0005400161743163157,0.0005400161743163157,0.4535,0.4535
800,1.489302734375,1.4900736427307129,0.0007709083557128071,0.0007709083557128071,0.4565,0.455
1000,1.4475922317504883,1.4484976692199707,0.0009054374694823508,0.0009054374694823508,0.469,0.4655
1200,1.451989532470703,1.4550312728881836,0.0030417404174805096,0.0030417404174805096,0.468,0.4665
1256,1.4311962814331054,1.4330916175842285,0.0018953361511231392,0.0018953361511231392,0.484,0.482
