Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.305514442443848,2.305514442443848,0.0,0.0,0.095,0.095
200,1.6428330993652345,1.6428330993652345,0.0,0.0,0.4065,0.4065
400,1.5449948120117187,1.5449948120117187,0.0,0.0,0.415,0.415
450,1.5307770080566405,1.5307770080566405,0.0,0.0,0.4285,0.4285
480,1.526274085998535,1.526274085998535,0.0,0.0,0.44,0.44
490,1.4956271018981933,1.4956271018981933,0.0,0.0,0.4395,0.4395
495,1.5011161041259766,1.5011161041259766,0.0,0.0,0.4395,0.4395
498,1.4947121772766114,1.4947121772766114,0.0,0.0,0.442,0.442
499,1.5115595779418944,1.5115595779418944,0.0,0.0,0.436,0.436
500,1.5265681686401367,1.5293562316894531,0.002788063049316447,0.002788063049316447,0.4375,0.4305
501,1.5003504524230957,1.5006996536254882,0.00034920120239245733,0.00034920120239245733,0.442,0.4455
502,1.4988137702941895,1.4984272613525391,-0.0003865089416503764,0.0003865089416503764,0.4385,0.439
505,1.531458106994629,1.5282793045043945,-0.003178802490234389,0.003178802490234389,0.4305,0.4325
510,1.5142955932617188,1.5117467041015624,-0.0025488891601563868,0.0025488891601563868,0.436,0.439
520,1.502535430908203,1.500906120300293,-0.0016293106079101616,0.0016293106079101616,0.448,0.449
530,1.4946220512390136,1.4936029472351073,-0.001019104003906257,0.001019104003906257,0.4475,0.4485
550,1.4730856246948243,1.4736368560791016,0.000551231384277262,0.000551231384277262,0.4565,0.457
575,1.5021972618103028,1.5022463836669921,4.912185668937141e-05,4.912185668937141e-05,0.4425,0.4435
600,1.4691827926635743,1.470288688659668,0.0011058959960936754,0.0011058959960936754,0.4695,0.465
650,1.473787452697754,1.4757019004821776,0.001914447784423734,0.001914447784423734,0.463,0.46
700,1.4512825660705566,1.4534137268066407,0.0021311607360841034,0.0021311607360841034,0.4755,0.471
750,1.443226406097412,1.445384422302246,0.0021580162048340235,0.0021580162048340235,0.4705,0.4705
800,1.4230284843444825,1.4268316192626953,0.003803134918212825,0.003803134918212825,0.4765,0.472
1000,1.402418670654297,1.409024814605713,0.00660614395141601,0.00660614395141601,0.482,0.477
1200,1.3708368225097656,1.3775963668823241,0.006759544372558546,0.006759544372558546,0.4975,0.4935
1256,1.4144169807434082,1.418455940246582,0.004038959503173789,0.004038959503173789,0.4805,0.481
