Optimizer,Seed,LearningRate,ShockMultiplier,ShockStep,ShortHorizonSteps,PreShockParameterDifferenceNorm,ImmediateControlUpdateNorm,ImmediateShockUpdateNorm,CausalUpdateVectorNorm,InjectedShockNorm,TransmissionRatio,RelativeCausalUpdateToControlUpdate,ImmediateProbeLossDeviation,ShortHorizonPeakPositiveLossDamage,ShortHorizonPeakAbsoluteLossDeviation,ShortHorizonPeakDeviationStep,ShortHorizonPeakDelaySteps,ShortHorizonCumulativePositiveLossDamage,ShortHorizonCumulativeAbsoluteLossDeviation,ControlFinalProbeLoss,ShockFinalProbeLoss,FinalProbeLossDifference,ControlFinalProbeAcc,ShockFinalProbeAcc,FinalProbeAccuracyDifference,ControlRuntimeSeconds,ShockRuntimeSeconds
SGD,2026,0.03,20.0,500,300,0.0,0.03920545056462288,0.4204607903957367,0.41830921173095703,13.943641185760498,0.029999998290126832,10.669669796077264,-0.0014455032348634766,0.0004022216796877309,0.0014455032348634766,500,0,0.0016088867187509237,0.2051474914551008,1.7651934967041016,1.7647514190673828,-0.000442077636718885,0.341,0.341,0.0,451.7506785392761,409.3291029930115
AdaGrad,2026,0.01,20.0,500,300,0.0,0.1671847552061081,0.32410937547683716,0.2789347469806671,27.180495262145996,0.010262312893508483,1.6684221395473038,0.002788063049316447,0.003803134918212825,0.003803134918212825,800,300,0.46210469436644985,0.5262892570495565,1.4144169807434082,1.418455940246582,0.004038959503173789,0.4805,0.481,0.0005000000000000004,385.5103316307068,392.6442000865936
Adam,2026,0.003,20.0,500,300,0.0,0.13741090893745422,0.2140873372554779,0.1653301864862442,21.233155727386475,0.007786416141289903,1.2031809393059039,0.00024295806884766513,0.01428892135620119,0.01428892135620119,550,50,0.9297082042694026,1.103905170440667,1.0680720024108887,1.0905259857177734,0.02245398330688464,0.6315,0.624,-0.007499999999999951,384.6126754283905,396.27438735961914
SGD,2027,0.03,20.0,500,300,0.0,0.0184303130954504,0.25858816504478455,0.25824040174484253,8.608013391494751,0.03,14.011720821421653,-0.0007067489624024148,0.0,0.0024769821166992223,501,1,0.0,0.14929487609864112,1.7116361389160155,1.7108136520385742,-0.000822486877441353,0.3795,0.379,-0.0005000000000000004,1674.525573015213,370.6579315662384
AdaGrad,2027,0.01,20.0,500,300,0.0,0.08414337038993835,0.24900422990322113,0.23455367982387543,11.24498963356018,0.020858505651606848,2.787547952226106,7.55310058608849e-06,0.0008088760375977166,0.0008088760375977166,505,5,0.097239780426005,0.11639326477048606,1.4311962814331054,1.4330916175842285,0.0018953361511231392,0.484,0.482,-0.0020000000000000018,369.9536814689636,372.78738737106323
Adam,2027,0.003,20.0,500,300,0.0,0.12175613641738892,0.1971973031759262,0.1556856334209442,12.709856033325195,0.01224920510607965,1.2786676548871632,-0.0011300849914550604,0.0076841430664060795,0.010938678741454932,650,150,0.7707457065582218,1.4591184577941725,1.167095603942871,1.1772536087036132,0.010158004760742134,0.5905,0.5815,-0.009000000000000008,386.1025023460388,394.74208641052246
SGD,2028,0.03,20.0,500,300,0.0,0.026523051783442497,0.26705437898635864,0.26567506790161133,8.855835199356079,0.030000001346110073,10.016760894289845,0.0015100784301758097,0.0015100784301758097,0.0015100784301758097,500,0,0.1562896804809618,0.15936051177979105,1.762033660888672,1.7629221572875977,0.0008884963989257422,0.359,0.358,-0.0010000000000000009,397.2331657409668,84747.16307353973
AdaGrad,2028,0.01,20.0,500,300,0.0,0.10780831426382065,0.3124757409095764,0.2946929931640625,25.784220695495605,0.011429199146419971,2.7334904100523385,0.0002841835021973882,0.0014889488220213298,0.002902931213379034,510,10,0.13118397140503346,0.19558913803101097,1.4579036712646485,1.468854190826416,0.010950519561767624,0.457,0.4565,-0.0005000000000000004,439.4194440841675,505.1709473133087
Adam,2028,0.003,20.0,500,300,0.0,0.11528372764587402,0.20523059368133545,0.17026051878929138,18.96375060081482,0.008978209130317067,1.4768824904091742,-3.7757873535104736e-05,0.012141376495361289,0.012141376495361289,600,100,1.3584118099212616,1.9460427455902132,1.0606654739379884,1.074332592010498,0.013667118072509643,0.6285,0.622,-0.00649999999999995,482.69783568382263,477.3234648704529
