Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.30476309967041,2.30476309967041,0.0,0.0,0.108,0.108
200,1.5935365142822266,1.5935365142822266,0.0,0.0,0.403,0.403
400,1.4112753982543946,1.4112753982543946,0.0,0.0,0.477,0.477
450,1.36550643157959,1.36550643157959,0.0,0.0,0.4935,0.4935
480,1.324292278289795,1.324292278289795,0.0,0.0,0.53,0.53
490,1.347756118774414,1.347756118774414,0.0,0.0,0.513,0.513
495,1.4224999580383302,1.4224999580383302,0.0,0.0,0.4935,0.4935
498,1.379425807952881,1.379425807952881,0.0,0.0,0.5075,0.5075
499,1.3695466270446777,1.3695466270446777,0.0,0.0,0.514,0.514
500,1.379725368499756,1.3785952835083009,-0.0011300849914550604,0.0011300849914550604,0.498,0.4975
501,1.3907667198181153,1.3888205757141114,-0.001946144104003844,0.001946144104003844,0.487,0.4905
502,1.3339786262512208,1.333820743560791,-0.0001578826904298225,0.0001578826904298225,0.5025,0.501
505,1.3332983932495117,1.3320985107421874,-0.0011998825073242791,0.0011998825073242791,0.5135,0.517
510,1.3172971839904786,1.319433696746826,0.0021365127563475195,0.0021365127563475195,0.529,0.529
520,1.3483145599365234,1.351966884613037,0.003652324676513663,0.003652324676513663,0.5135,0.5125
530,1.339267879486084,1.3393110504150392,4.317092895522734e-05,4.317092895522734e-05,0.514,0.5155
550,1.336757583618164,1.3418833122253417,0.005125728607177749,0.005125728607177749,0.516,0.5155
575,1.2834532737731934,1.2848552589416504,0.0014019851684570206,0.0014019851684570206,0.5335,0.534
600,1.2767533988952637,1.2844375419616698,0.0076841430664060795,0.0076841430664060795,0.5305,0.534
650,1.273287239074707,1.262348560333252,-0.010938678741454932,0.010938678741454932,0.536,0.5505
700,1.2927352600097657,1.2967808074951173,0.004045547485351575,0.004045547485351575,0.5385,0.535
750,1.2016530876159668,1.1989768409729005,-0.0026762466430663157,0.0026762466430663157,0.567,0.568
800,1.2241491355895997,1.2272187271118165,0.0030695915222167525,0.0030695915222167525,0.5765,0.5725
1000,1.1216668510437011,1.127307964324951,0.005641113281249943,0.005641113281249943,0.604,0.6025
1200,1.1140022010803223,1.1076797103881837,-0.006322490692138638,0.006322490692138638,0.5975,0.6055
1256,1.167095603942871,1.1772536087036132,0.010158004760742134,0.010158004760742134,0.5905,0.5815
