Step,ControlProbeLoss,ShockProbeLoss,DeltaProbeLoss,AbsoluteDeltaProbeLoss,ControlProbeAcc,ShockProbeAcc
0,2.3057811126708985,2.3057811126708985,0.0,0.0,0.092,0.092
200,2.1893646545410155,2.1893646545410155,0.0,0.0,0.233,0.233
400,2.0108921737670897,2.0108921737670897,0.0,0.0,0.2665,0.2665
450,1.9911391983032227,1.9911391983032227,0.0,0.0,0.269,0.269
480,1.9725511779785156,1.9725511779785156,0.0,0.0,0.2775,0.2775
490,1.9704754180908204,1.9704754180908204,0.0,0.0,0.2785,0.2785
495,1.9589820098876953,1.9589820098876953,0.0,0.0,0.2735,0.2735
498,1.9613920288085938,1.9613920288085938,0.0,0.0,0.288,0.288
499,1.9641379699707031,1.9641379699707031,0.0,0.0,0.2875,0.2875
500,1.9636107940673828,1.9651208724975586,0.0015100784301758097,0.0015100784301758097,0.296,0.2855
501,1.9577414627075196,1.9586070938110351,0.0008656311035155628,0.0008656311035155628,0.296,0.291
502,1.9640903549194335,1.9641663665771485,7.601165771498053e-05,7.601165771498053e-05,0.2845,0.272
505,1.9563808059692382,1.9567231521606445,0.0003423461914062731,0.0003423461914062731,0.2795,0.276
510,1.958258041381836,1.958967140197754,0.0007090988159179634,0.0007090988159179634,0.276,0.2755
520,1.9502819595336913,1.9504633178710937,0.00018135833740240415,0.00018135833740240415,0.272,0.271
530,1.9446195983886718,1.9451247177124023,0.0005051193237304297,0.0005051193237304297,0.294,0.2895
550,1.9531085586547852,1.9537814712524415,0.0006729125976563388,0.0006729125976563388,0.282,0.2815
575,1.9239959259033204,1.9244103317260741,0.0004144058227537606,0.0004144058227537606,0.2775,0.2755
600,1.9106240310668945,1.9111189346313477,0.0004949035644532529,0.0004949035644532529,0.286,0.284
650,1.8759601898193359,1.8763185348510742,0.00035834503173837184,0.00035834503173837184,0.319,0.315
700,1.8681351928710936,1.869171043395996,0.0010358505249024041,0.0010358505249024041,0.308,0.3075
750,1.8257945709228516,1.8262879638671874,0.0004933929443358132,0.0004933929443358132,0.326,0.325
800,1.829601203918457,1.8294783706665039,-0.0001228332519531694,0.0001228332519531694,0.317,0.3185
1000,1.7496113662719726,1.7498573379516602,0.000245971679687651,0.000245971679687651,0.349,0.3475
1200,1.7344296569824218,1.7339115829467773,-0.0005180740356445224,0.0005180740356445224,0.357,0.359
1256,1.762033660888672,1.7629221572875977,0.0008884963989257422,0.0008884963989257422,0.359,0.358
