Optimizer,Metric,NSeeds,Mean,SampleSD,Median,Min,Max
SGD,TransmissionRatio,3,0.029999999878745635,1.5315956899881672e-09,0.03,0.029999998290126832,0.030000001346110073
SGD,RelativeCausalUpdateToControlUpdate,3,11.566050503929588,2.143023561444115,10.669669796077264,10.016760894289845,14.011720821421653
SGD,CausalUpdateVectorNorm,3,0.3140748937924703,0.09034607541167354,0.26567506790161133,0.25824040174484253,0.41830921173095703
SGD,ImmediateProbeLossDeviation,3,-0.0002140579223633606,0.001538156068277915,-0.0007067489624024148,-0.0014455032348634766,0.0015100784301758097
SGD,ShortHorizonPeakPositiveLossDamage,3,0.0006374333699545135,0.0007820342836149686,0.0004022216796877309,0.0,0.0015100784301758097
SGD,ShortHorizonPeakAbsoluteLossDeviation,3,0.0018108545939128362,0.0005777862030392834,0.0015100784301758097,0.0014455032348634766,0.0024769821166992223
SGD,ShortHorizonPeakDelaySteps,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
SGD,ShortHorizonCumulativePositiveLossDamage,3,0.05263285573323758,0.0897730478300907,0.0016088867187509237,0.0,0.1562896804809618
SGD,ShortHorizonCumulativeAbsoluteLossDeviation,3,0.171267626444511,0.029769333134422926,0.15936051177979105,0.14929487609864112,0.2051474914551008
SGD,FinalProbeAccuracyDifference,3,-0.0005000000000000004,0.0005000000000000004,-0.0005000000000000004,-0.0010000000000000009,0.0
SGD,FinalProbeLossDifference,3,-0.0001253560384114986,0.0008983876508099158,-0.000442077636718885,-0.000822486877441353,0.0008884963989257422
AdaGrad,TransmissionRatio,3,0.014183339230511766,0.005810231574024819,0.011429199146419971,0.010262312893508483,0.020858505651606848
AdaGrad,RelativeCausalUpdateToControlUpdate,3,2.3964868339419163,0.6311015796877768,2.7334904100523385,1.6684221395473038,2.787547952226106
AdaGrad,CausalUpdateVectorNorm,3,0.26939380665620166,0.031184233339358505,0.2789347469806671,0.23455367982387543,0.2946929931640625
AdaGrad,ImmediateProbeLossDeviation,3,0.001026599884033308,0.0015317295638463335,0.0002841835021973882,7.55310058608849e-06,0.002788063049316447
AdaGrad,ShortHorizonPeakPositiveLossDamage,3,0.0020336532592772905,0.0015696890628434537,0.0014889488220213298,0.0008088760375977166,0.003803134918212825
AdaGrad,ShortHorizonPeakAbsoluteLossDeviation,3,0.0025049807230631918,0.0015362844806846728,0.002902931213379034,0.0008088760375977166,0.003803134918212825
AdaGrad,ShortHorizonPeakDelaySteps,3,105.0,168.89345754054537,10.0,5.0,300.0
AdaGrad,ShortHorizonCumulativePositiveLossDamage,3,0.23017614873249612,0.20157179796592556,0.13118397140503346,0.097239780426005,0.46210469436644985
AdaGrad,ShortHorizonCumulativeAbsoluteLossDeviation,3,0.27942388661701784,0.21742787292449464,0.19558913803101097,0.11639326477048606,0.5262892570495565
AdaGrad,FinalProbeAccuracyDifference,3,-0.0006666666666666673,0.0012583057392117926,-0.0005000000000000004,-0.0020000000000000018,0.0005000000000000004
AdaGrad,FinalProbeLossDifference,3,0.005628271738688184,0.00473217938021897,0.004038959503173789,0.0018953361511231392,0.010950519561767624
Adam,TransmissionRatio,3,0.009671276792562206,0.0023107095067099502,0.008978209130317067,0.007786416141289903,0.01224920510607965
Adam,RelativeCausalUpdateToControlUpdate,3,1.319577028200747,0.14136236199132587,1.2786676548871632,1.2031809393059039,1.4768824904091742
Adam,CausalUpdateVectorNorm,3,0.16375877956549326,0.007413420982114333,0.1653301864862442,0.1556856334209442,0.17026051878929138
Adam,ImmediateProbeLossDeviation,3,-0.00030829493204749997,0.0007253995701561815,-3.7757873535104736e-05,-0.0011300849914550604,0.00024295806884766513
Adam,ShortHorizonPeakPositiveLossDamage,3,0.01137148030598952,0.0033690249585219883,0.012141376495361289,0.0076841430664060795,0.01428892135620119
Adam,ShortHorizonPeakAbsoluteLossDeviation,3,0.012456325531005804,0.001697181801017651,0.012141376495361289,0.010938678741454932,0.01428892135620119
Adam,ShortHorizonPeakDelaySteps,3,100.0,50.0,100.0,50.0,150.0
Adam,ShortHorizonCumulativePositiveLossDamage,3,1.0196219069162955,0.3039756860395748,0.9297082042694026,0.7707457065582218,1.3584118099212616
Adam,ShortHorizonCumulativeAbsoluteLossDeviation,3,1.5030221246083508,0.42278194478890313,1.4591184577941725,1.103905170440667,1.9460427455902132
Adam,FinalProbeAccuracyDifference,3,-0.007666666666666637,0.001258305739211822,-0.007499999999999951,-0.009000000000000008,-0.00649999999999995
Adam,FinalProbeLossDifference,3,0.015426368713378805,0.006333955653053478,0.013667118072509643,0.010158004760742134,0.02245398330688464
